# Spatial-averaged data for fix xcnt_lo and group x_lo
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
  1 0.025 967.91 279.735
  2 0.075 976.09 285.478
  3 0.125 980.67 281.05
  4 0.175 975.33 283.673
  5 0.225 981.15 278.329
  6 0.275 974.85 277.893
  7 0.325 981.4 281.47
  8 0.375 974.6 280.678
  9 0.425 981.07 282.14
  10 0.475 974.93 279.781
  11 0.525 982.94 286.058
  12 0.575 973.06 281.109
  13 0.625 982.68 287.511
  14 0.675 973.32 282.803
  15 0.725 982.39 281.444
  16 0.775 973.61 282.93
  17 0.825 981.09 276.919
  18 0.875 974.91 280.96
  19 0.925 978.99 284.581
  20 0.975 965.01 279.426
20820000 20
  1 0.025 965.52 283.65
  2 0.075 978.48 281.068
  3 0.125 975.3 278.688
  4 0.175 980.7 278.247
  5 0.225 974.07 274.605
  6 0.275 981.93 282.974
  7 0.325 973.43 285.033
  8 0.375 982.57 277.272
  9 0.425 973.66 281.391
  10 0.475 982.34 275.261
  11 0.525 975.18 282.709
  12 0.575 980.82 282.517
  13 0.625 974.6 288.77
  14 0.675 981.4 286.05
  15 0.725 974.89 281.755
  16 0.775 981.11 282.895
  17 0.825 975.3 284.155
  18 0.875 980.7 281.301
  19 0.925 976.32 278.96
  20 0.975 967.68 283.555
20830000 20
  1 0.025 968.12 276.832
  2 0.075 975.88 278.908
  3 0.125 981.08 281.764
  4 0.175 974.92 278.217
  5 0.225 981.86 277.213
  6 0.275 974.14 282.667
  7 0.325 981.46 283.058
  8 0.375 974.54 284.243
  9 0.425 982.02 280.21
  10 0.475 973.98 276.474
  11 0.525 982.77 284.245
  12 0.575 973.23 283.069
  13 0.625 983.44 279.223
  14 0.675 972.56 285.227
  15 0.725 982.4 289.698
  16 0.775 973.6 283.274
  17 0.825 980.67 277.29
  18 0.875 975.33 283.637
  19 0.925 978.97 281.917
  20 0.975 965.03 284.038
20840000 20
  1 0.025 965.28 278.73
  2 0.075 978.72 278.915
  3 0.125 975.5 279.738
  4 0.175 980.5 278.122
  5 0.225 973.59 274.627
  6 0.275 982.41 277.282
  7 0.325 973.01 285.727
  8 0.375 982.99 281.931
  9 0.425 973.62 283.865
  10 0.475 982.38 276.643
  11 0.525 974.95 286.295
  12 0.575 981.05 286.756
  13 0.625 974.75 280.034
  14 0.675 981.25 283.356
  15 0.725 974.34 277.774
  16 0.775 981.66 293.061
  17 0.825 974.74 284.394
  18 0.875 981.26 283.075
  19 0.925 975.93 279.279
  20 0.975 968.07 283.459
20850000 20
  1 0.025 968.2 280.978
  2 0.075 975.8 278.613
  3 0.125 981.36 282.675
  4 0.175 974.64 279.581
  5 0.225 981.85 278.616
  6 0.275 974.15 279.27
  7 0.325 981.75 278.988
  8 0.375 974.25 283.586
  9 0.425 982.16 281.388
  10 0.475 973.84 276.832
  11 0.525 983.19 278.556
  12 0.575 972.81 283.853
  13 0.625 983.34 284.05
  14 0.675 972.66 285.28
  15 0.725 983.04 285.937
  16 0.775 972.96 287.96
  17 0.825 981.49 284.17
  18 0.875 974.51 282.417
  19 0.925 979.38 280.739
  20 0.975 964.62 282.266
20860000 20
  1 0.025 964.58 277.433
  2 0.075 979.42 282.642
  3 0.125 974.91 283.06
  4 0.175 981.09 281.4
  5 0.225 973.39 280.212
  6 0.275 982.61 281.181
  7 0.325 972.64 278.65
  8 0.375 983.36 278.25
  9 0.425 973.04 277.634
  10 0.475 982.96 280.05
  11 0.525 973.97 284.994
  12 0.575 982.03 278.246
  13 0.625 974.18 281.681
  14 0.675 981.82 285.502
  15 0.725 974.27 286.228
  16 0.775 981.73 283.733
  17 0.825 974.29 280.201
  18 0.875 981.71 277.257
  19 0.925 975.98 283.65
  20 0.975 968.02 294.393
20870000 20
  1 0.025 968.45 284.355
  2 0.075 975.55 278.943
  3 0.125 982.66 279.319
  4 0.175 973.34 285.42
  5 0.225 982.52 284.63
  6 0.275 973.48 285.615
  7 0.325 982.23 277.423
  8 0.375 973.77 277.393
  9 0.425 981.66 278.429
  10 0.475 974.34 278.076
  11 0.525 982.78 279.13
  12 0.575 973.22 280.075
  13 0.625 983.33 281.875
  14 0.675 972.67 283.288
  15 0.725 983.06 277.689
  16 0.775 972.94 282.374
  17 0.825 981.58 279.539
  18 0.875 974.42 284.9
  19 0.925 978.96 289.612
  20 0.975 965.04 286.93
20880000 20
  1 0.025 964.84 284.045
  2 0.075 979.16 282.094
  3 0.125 974.08 284.039
  4 0.175 981.92 281.902
  5 0.225 972.59 283.604
  6 0.275 983.41 281.658
  7 0.325 972.6 282.335
  8 0.375 983.4 278.161
  9 0.425 973.35 276.048
  10 0.475 982.65 277.423
  11 0.525 973.69 283.474
  12 0.575 982.31 283.265
  13 0.625 973.74 283.934
  14 0.675 982.26 280.737
  15 0.725 973.45 276.748
  16 0.775 982.55 279.575
  17 0.825 973.61 284.786
  18 0.875 982.39 283.411
  19 0.925 975.55 283.102
  20 0.975 968.45 290.148
20890000 20
  1 0.025 968.4 283.346
  2 0.075 975.6 280.168
  3 0.125 982.67 283.854
  4 0.175 973.33 283.16
  5 0.225 982.61 277.788
  6 0.275 973.39 280
  7 0.325 981.9 281.036
  8 0.375 974.1 283.13
  9 0.425 981.93 278.725
  10 0.475 974.07 282.662
  11 0.525 982.87 282.357
  12 0.575 973.13 278.655
  13 0.625 983.3 278.695
  14 0.675 972.7 281.718
  15 0.725 983.19 282.803
  16 0.775 972.81 283.215
  17 0.825 981.41 283.935
  18 0.875 974.59 281.879
  19 0.925 978.69 284.237
  20 0.975 965.31 286.234
20900000 20
  1 0.025 965.28 287.793
  2 0.075 978.72 282.865
  3 0.125 973.64 282.839
  4 0.175 982.36 282.495
  5 0.225 972.36 282.174
  6 0.275 983.64 277.7
  7 0.325 972.17 278.192
  8 0.375 983.83 286.808
  9 0.425 972.64 279.616
  10 0.475 983.36 278.193
  11 0.525 973.66 279.972
  12 0.575 982.34 278.216
  13 0.625 973.3 281.89
  14 0.675 982.7 281.42
  15 0.725 973 282.323
  16 0.775 983 283.753
  17 0.825 972.77 287.417
  18 0.875 983.23 283.897
  19 0.925 975.48 281.317
  20 0.975 968.52 279.205
20910000 20
  1 0.025 968.51 281.371
  2 0.075 975.49 285.293
  3 0.125 983.16 285.969
  4 0.175 972.84 285.349
  5 0.225 982.73 285.381
  6 0.275 973.27 279.766
  7 0.325 982.14 284.002
  8 0.375 973.86 276.91
  9 0.425 981.79 279.991
  10 0.475 974.21 283.386
  11 0.525 982.8 280.348
  12 0.575 973.2 277.55
  13 0.625 983.82 282.074
  14 0.675 972.18 279.381
  15 0.725 983.56 285.91
  16 0.775 972.44 282.381
  17 0.825 981.84 283.421
  18 0.875 974.16 283.944
  19 0.925 978.83 277.095
  20 0.975 965.17 282.446
20920000 20
  1 0.025 965.42 282.633
  2 0.075 978.58 280.245
  3 0.125 974.78 287.61
  4 0.175 981.22 288.499
  5 0.225 972.99 281.935
  6 0.275 983.01 281.66
  7 0.325 972.69 279.886
  8 0.375 983.31 280.879
  9 0.425 973.79 283.575
  10 0.475 982.21 280.637
  11 0.525 974.36 282.746
  12 0.575 981.64 279.76
  13 0.625 973.91 275.484
  14 0.675 982.09 279.693
  15 0.725 973.79 281.064
  16 0.775 982.21 285.299
  17 0.825 973.07 285.185
  18 0.875 982.93 279.768
  19 0.925 976.19 278.8
  20 0.975 967.81 277.832
20930000 20
  1 0.025 968.64 281.431
  2 0.075 975.36 281.214
  3 0.125 983.11 286.204
  4 0.175 972.89 283.532
  5 0.225 982.5 288.034
  6 0.275 973.5 288.116
  7 0.325 981.82 283.098
  8 0.375 974.18 280.335
  9 0.425 981.52 283.853
  10 0.475 974.48 283.028
  11 0.525 981.96 280.172
  12 0.575 974.04 276.716
  13 0.625 982.43 271.932
  14 0.675 973.57 278.95
  15 0.725 982.57 277.535
  16 0.775 973.43 287.405
  17 0.825 981.54 285.102
  18 0.875 974.46 279.015
  19 0.925 978.55 280.534
  20 0.975 965.45 279.999
20940000 20
  1 0.025 964.72 284.576
  2 0.075 979.28 285.515
  3 0.125 974.45 278.655
  4 0.175 981.55 283.504
  5 0.225 973.35 287.265
  6 0.275 982.65 287.052
  7 0.325 973.14 281.986
  8 0.375 982.86 280.899
  9 0.425 973.49 286.539
  10 0.475 982.51 278.634
  11 0.525 974.42 279.124
  12 0.575 981.58 277.397
  13 0.625 973.77 274.932
  14 0.675 982.23 279.804
  15 0.725 973.6 281.345
  16 0.775 982.4 281.241
  17 0.825 973.52 278.062
  18 0.875 982.48 278.076
  19 0.925 975.74 281.983
  20 0.975 968.26 286.35
20950000 20
  1 0.025 968.79 286.966
  2 0.075 975.21 285.322
  3 0.125 982.43 272.198
  4 0.175 973.57 279.793
  5 0.225 982.4 288.796
  6 0.275 973.6 286.638
  7 0.325 981.61 287.104
  8 0.375 974.39 284.067
  9 0.425 981.33 280.71
  10 0.475 974.67 278.637
  11 0.525 981.07 283.698
  12 0.575 974.93 279.91
  13 0.625 981.58 276.272
  14 0.675 974.42 275.507
  15 0.725 981.85 279.505
  16 0.775 974.15 284.004
  17 0.825 980.95 279.544
  18 0.875 975.05 280.868
  19 0.925 978.93 282.981
  20 0.975 965.07 278.194
20960000 20
  1 0.025 965.52 279.046
  2 0.075 978.48 286.935
  3 0.125 975.99 283.418
  4 0.175 980.01 285.739
  5 0.225 974.59 280.854
  6 0.275 981.41 282.957
  7 0.325 974.83 285.27
  8 0.375 981.17 286.365
  9 0.425 974.8 285.733
  10 0.475 981.2 285.147
  11 0.525 974.68 280.058
  12 0.575 981.32 279.959
  13 0.625 974.29 280.536
  14 0.675 981.71 277.049
  15 0.725 974.22 278.728
  16 0.775 981.78 279.77
  17 0.825 974.26 276.796
  18 0.875 981.74 280.358
  19 0.925 975.43 280.477
  20 0.975 968.57 278.661
20970000 20
  1 0.025 968.16 280.835
  2 0.075 975.84 280.462
  3 0.125 981.68 284.182
  4 0.175 974.32 287.517
  5 0.225 981.89 285.517
  6 0.275 974.11 283.96
  7 0.325 981.66 287.407
  8 0.375 974.34 285.893
  9 0.425 981.16 277.824
  10 0.475 974.84 276.687
  11 0.525 981.02 282.335
  12 0.575 974.98 281.723
  13 0.625 981.34 279.572
  14 0.675 974.66 281.848
  15 0.725 981.65 281.659
  16 0.775 974.35 275.107
  17 0.825 980.64 281.704
  18 0.875 975.36 279.807
  19 0.925 978.89 277.267
  20 0.975 965.11 279.917
20980000 20
  1 0.025 965.1 286.364
  2 0.075 978.9 280.599
  3 0.125 975.22 281.29
  4 0.175 980.78 285.66
  5 0.225 974.07 279.348
  6 0.275 981.93 284.085
  7 0.325 974.64 285.283
  8 0.375 981.36 286.947
  9 0.425 975.41 283.521
  10 0.475 980.59 283.166
  11 0.525 975.03 283.438
  12 0.575 980.97 278.956
  13 0.625 974.3 276.781
  14 0.675 981.7 279.218
  15 0.725 974.33 276.23
  16 0.775 981.67 275.107
  17 0.825 974.33 282.58
  18 0.875 981.67 280.967
  19 0.925 976.32 280.468
  20 0.975 967.68 283.665
20990000 20
  1 0.025 968.59 278.486
  2 0.075 975.41 286.738
  3 0.125 981.88 280.66
  4 0.175 974.12 283.054
  5 0.225 982.01 284.2
  6 0.275 973.99 285.133
  7 0.325 982 287.278
  8 0.375 974 287.734
  9 0.425 981.13 283.869
  10 0.475 974.87 281.616
  11 0.525 981.09 278.454
  12 0.575 974.91 278.463
  13 0.625 981.12 279.138
  14 0.675 974.88 280.062
  15 0.725 981.55 278.15
  16 0.775 974.45 274.209
  17 0.825 981.07 276.01
  18 0.875 974.93 287.978
  19 0.925 979.49 281.756
  20 0.975 964.51 279.131
21000000 20
  1 0.025 965.62 282.408
  2 0.075 978.38 280.859
  3 0.125 975.8 279.83
  4 0.175 980.2 283.289
  5 0.225 975.21 281.93
  6 0.275 980.79 282.271
  7 0.325 976.15 288.758
  8 0.375 979.85 285.063
  9 0.425 975.85 285.396
  10 0.475 980.15 281.16
  11 0.525 975.17 287.428
  12 0.575 980.83 283.168
  13 0.625 974.09 282.129
  14 0.675 981.91 277.528
  15 0.725 974.25 275.158
  16 0.775 981.75 277.832
  17 0.825 975.16 279.099
  18 0.875 980.84 280.746
  19 0.925 975.78 284.153
  20 0.975 968.22 278.446
21010000 20
  1 0.025 967.66 280.814
  2 0.075 976.34 280.459
  3 0.125 980.85 287.036
  4 0.175 975.15 279.476
  5 0.225 981.53 278.76
  6 0.275 974.47 279.868
  7 0.325 981.56 288.44
  8 0.375 974.44 288.046
  9 0.425 980.83 281.581
  10 0.475 975.17 282.395
  11 0.525 980.21 280.532
  12 0.575 975.79 280.443
  13 0.625 979.78 282.221
  14 0.675 976.22 283.335
  15 0.725 980.38 282.373
  16 0.775 975.62 279.703
  17 0.825 979.74 276.779
  18 0.875 976.26 278.161
  19 0.925 978.74 283.148
  20 0.975 965.26 279.131
21020000 20
  1 0.025 965.03 277.813
  2 0.075 978.97 283.384
  3 0.125 975.83 283.814
  4 0.175 980.17 282.386
  5 0.225 975.91 281.193
  6 0.275 980.09 281.319
  7 0.325 975.88 279.831
  8 0.375 980.12 286.854
  9 0.425 975.67 284.723
  10 0.475 980.33 277.809
  11 0.525 975.19 280.812
  12 0.575 980.81 280.991
  13 0.625 974.61 286.184
  14 0.675 981.39 285.521
  15 0.725 974.61 284.157
  16 0.775 981.39 282.512
  17 0.825 975.38 280.349
  18 0.875 980.62 277.133
  19 0.925 976 277.258
  20 0.975 968 277.833
21030000 20
  1 0.025 967.7 279.226
  2 0.075 976.3 279.561
  3 0.125 980.39 280.343
  4 0.175 975.61 282.565
  5 0.225 981.15 283.8
  6 0.275 974.85 283.725
  7 0.325 981.25 285.046
  8 0.375 974.75 285.054
  9 0.425 981 284.17
  10 0.475 975 279.51
  11 0.525 980.45 280.594
  12 0.575 975.55 287.674
  13 0.625 980.26 286.372
  14 0.675 975.74 286.703
  15 0.725 980.58 282.867
  16 0.775 975.42 278.453
  17 0.825 980.43 277.361
  18 0.875 975.57 280.184
  19 0.925 979.39 277.611
  20 0.975 964.61 272.917
21040000 20
  1 0.025 965.02 280.936
  2 0.075 978.98 279.324
  3 0.125 975.21 278.247
  4 0.175 980.79 281.822
  5 0.225 975.21 284.487
  6 0.275 980.79 283.685
  7 0.325 975.44 285.982
  8 0.375 980.56 285.93
  9 0.425 975.13 284.724
  10 0.475 980.87 281.245
  11 0.525 975.01 283.683
  12 0.575 980.99 287.721
  13 0.625 974.85 282.237
  14 0.675 981.15 282.527
  15 0.725 974.74 284.021
  16 0.775 981.26 278.445
  17 0.825 975.24 277.689
  18 0.875 980.76 276.852
  19 0.925 975.64 279.835
  20 0.975 968.36 273.021
21050000 20
  1 0.025 967.94 281.381
  2 0.075 976.06 279.247
  3 0.125 980.22 282.716
  4 0.175 975.78 284.411
  5 0.225 981.11 280.432
  6 0.275 974.89 279.946
  7 0.325 981.11 284.536
  8 0.375 974.89 285.356
  9 0.425 980.7 282.46
  10 0.475 975.3 282.375
  11 0.525 980.02 282.017
  12 0.575 975.98 287.057
  13 0.625 979.77 287.126
  14 0.675 976.23 283.179
  15 0.725 980.14 279.248
  16 0.775 975.86 282.108
  17 0.825 980.14 281.092
  18 0.875 975.86 277.864
  19 0.925 979.17 274.167
  20 0.975 964.83 277.9
21060000 20
  1 0.025 965.14 282.742
  2 0.075 978.86 279.621
  3 0.125 975.74 273.583
  4 0.175 980.26 280.649
  5 0.225 975.78 284.666
  6 0.275 980.22 283.312
  7 0.325 975.95 284.671
  8 0.375 980.05 287.546
  9 0.425 975.72 290.47
  10 0.475 980.28 280.624
  11 0.525 975.24 282.464
  12 0.575 980.76 286.553
  13 0.625 974.69 285.23
  14 0.675 981.31 281.466
  15 0.725 974.79 279.975
  16 0.775 981.21 281.386
  17 0.825 975.11 275.396
  18 0.875 980.89 279.192
  19 0.925 975.76 278.454
  20 0.975 968.24 278.389
21070000 20
  1 0.025 968.11 276.996
  2 0.075 975.89 279.038
  3 0.125 980.37 283.073
  4 0.175 975.63 281.456
  5 0.225 981.11 276.663
  6 0.275 974.89 282.326
  7 0.325 980.85 287.28
  8 0.375 975.15 280.727
  9 0.425 980.53 289.724
  10 0.475 975.47 289.298
  11 0.525 980.31 287.185
  12 0.575 975.69 286.754
  13 0.625 979.85 281.614
  14 0.675 976.15 276.982
  15 0.725 979.78 278.094
  16 0.775 976.22 278.885
  17 0.825 979.34 280.198
  18 0.875 976.66 280.271
  19 0.925 978.24 277.921
  20 0.975 965.76 279.825
21080000 20
  1 0.025 965.36 284.935
  2 0.075 978.64 280.538
  3 0.125 975.71 274.647
  4 0.175 980.29 272.74
  5 0.225 975.81 282.772
  6 0.275 980.19 279.884
  7 0.325 976.05 282.99
  8 0.375 979.95 283.445
  9 0.425 975.23 283.79
  10 0.475 980.77 289.088
  11 0.525 975.1 288.012
  12 0.575 980.9 284.292
  13 0.625 975.03 285.843
  14 0.675 980.97 278.528
  15 0.725 975 279.678
  16 0.775 981 282.467
  17 0.825 974.87 280.259
  18 0.875 981.13 280.521
  19 0.925 975.77 278.624
  20 0.975 968.23 281.23
21090000 20
  1 0.025 967.49 277.441
  2 0.075 976.51 279.673
  3 0.125 980.35 278.095
  4 0.175 975.65 278.069
  5 0.225 980.82 278.276
  6 0.275 975.18 281.9
  7 0.325 980.95 279.761
  8 0.375 975.05 282.553
  9 0.425 980.4 284.481
  10 0.475 975.6 284.888
  11 0.525 980.27 288.151
  12 0.575 975.73 287.592
  13 0.625 979.55 286.261
  14 0.675 976.45 282.888
  15 0.725 979.9 287.446
  16 0.775 976.1 286.673
  17 0.825 979.67 279.211
  18 0.875 976.33 277.275
  19 0.925 978.52 277.047
  20 0.975 965.48 277.881
21100000 20
  1 0.025 965.76 279.033
  2 0.075 978.24 276.433
  3 0.125 976.55 280.34
  4 0.175 979.45 275.987
  5 0.225 976.26 278.517
  6 0.275 979.74 279.438
  7 0.325 976.71 278.72
  8 0.375 979.29 289.301
  9 0.425 976.26 283.638
  10 0.475 979.74 282.876
  11 0.525 975.93 283.227
  12 0.575 980.07 287.697
  13 0.625 975.29 287.922
  14 0.675 980.71 285.58
  15 0.725 975.35 285.079
  16 0.775 980.65 282.672
  17 0.825 975.65 287.168
  18 0.875 980.35 277.09
  19 0.925 976.65 275.712
  20 0.975 967.35 277.367
21110000 20
  1 0.025 967.49 283.828
  2 0.075 976.51 277.283
  3 0.125 980.36 277.848
  4 0.175 975.64 277.448
  5 0.225 980.68 274.321
  6 0.275 975.32 277.275
  7 0.325 980.74 279.459
  8 0.375 975.26 283.699
  9 0.425 980.02 283.449
  10 0.475 975.98 286.984
