# Spatial-averaged data for fix zcnt_hi and group z_hi
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
  1 0.025 966.66 317.701
  2 0.075 977.34 316.74
  3 0.125 978.25 318.948
  4 0.175 977.75 316.518
  5 0.225 979.76 321.498
  6 0.275 976.24 320.258
  7 0.325 980.25 315.607
  8 0.375 975.75 312.199
  9 0.425 980.99 323.113
  10 0.475 975.01 319.738
  11 0.525 982.29 319.331
  12 0.575 973.71 320.1
  13 0.625 981.41 315.016
  14 0.675 974.59 315.983
  15 0.725 978.49 319.095
  16 0.775 977.51 319.216
  17 0.825 978.73 315.894
  18 0.875 977.27 329.469
  19 0.925 978.33 329.423
  20 0.975 965.67 323.56
20820000 20
  1 0.025 965.65 324.104
  2 0.075 978.35 318.689
  3 0.125 976.72 316.616
  4 0.175 979.28 314.602
  5 0.225 976.73 321.786
  6 0.275 979.27 318.515
  7 0.325 974.06 313.623
  8 0.375 981.94 318.019
  9 0.425 973.33 318.844
  10 0.475 982.67 319.318
  11 0.525 974.59 322.729
  12 0.575 981.41 318.035
  13 0.625 975.77 315.647
  14 0.675 980.23 317.139
  15 0.725 976.15 316.993
  16 0.775 979.85 318.593
  17 0.825 977.15 329.918
  18 0.875 978.85 322.742
  19 0.925 976.88 322.016
  20 0.975 967.12 325.789
20830000 20
  1 0.025 966.68 316.825
  2 0.075 977.32 324.699
  3 0.125 977.86 319.158
  4 0.175 978.14 317.288
  5 0.225 979.56 320.73
  6 0.275 976.44 321.635
  7 0.325 980.26 318.589
  8 0.375 975.74 314.029
  9 0.425 981.22 313.272
  10 0.475 974.78 315.489
  11 0.525 982.27 319.912
  12 0.575 973.73 324.223
  13 0.625 982.46 319.239
  14 0.675 973.54 314.062
  15 0.725 979.09 320.192
  16 0.775 976.91 321.571
  17 0.825 979.17 319.977
  18 0.875 976.83 320.861
  19 0.925 978.18 324.644
  20 0.975 965.82 324.861
20840000 20
  1 0.025 966.18 318.323
  2 0.075 977.82 320.477
  3 0.125 976.84 322.085
  4 0.175 979.16 318.561
  5 0.225 977 317.576
  6 0.275 979 323.57
  7 0.325 973.89 321.34
  8 0.375 982.11 314.024
  9 0.425 973.68 317.565
  10 0.475 982.32 316.06
  11 0.525 974.59 323.525
  12 0.575 981.41 318.021
  13 0.625 975.64 313.275
  14 0.675 980.36 318.125
  15 0.725 976.37 321.407
  16 0.775 979.63 321.539
  17 0.825 977.86 322.85
  18 0.875 978.14 318.738
  19 0.925 977.02 324.755
  20 0.975 966.98 320.822
20850000 20
  1 0.025 966.77 322.592
  2 0.075 977.23 319.464
  3 0.125 978.27 312.697
  4 0.175 977.73 318.011
  5 0.225 979.35 317.554
  6 0.275 976.65 327.191
  7 0.325 980.23 322.208
  8 0.375 975.77 314.497
  9 0.425 981.2 319.017
  10 0.475 974.8 321.444
  11 0.525 981.86 318.489
  12 0.575 974.14 317.832
  13 0.625 981.23 321.135
  14 0.675 974.77 320.391
  15 0.725 978.55 315.635
  16 0.775 977.45 318.436
  17 0.825 978.88 318.178
  18 0.875 977.12 323.979
  19 0.925 978.22 324.357
  20 0.975 965.78 314.517
20860000 20
  1 0.025 965.42 318.775
  2 0.075 978.58 318.128
  3 0.125 976.87 317.159
  4 0.175 979.13 319.551
  5 0.225 976.03 313.734
  6 0.275 979.97 318.866
  7 0.325 973.28 319.916
  8 0.375 982.72 322.418
  9 0.425 972.97 323.666
  10 0.475 983.03 323.331
  11 0.525 973.86 315.603
  12 0.575 982.14 321.764
  13 0.625 975.49 319.782
  14 0.675 980.51 323.776
  15 0.725 976.29 314.441
  16 0.775 979.71 322.291
  17 0.825 977.53 315.915
  18 0.875 978.47 319.318
  19 0.925 976.85 319.889
  20 0.975 967.15 317.92
20870000 20
  1 0.025 966.66 321.783
  2 0.075 977.34 318.625
  3 0.125 978.53 318.998
  4 0.175 977.47 310.713
  5 0.225 979.65 321.651
  6 0.275 976.35 321.641
  7 0.325 980.35 321.745
  8 0.375 975.65 322.681
  9 0.425 981.39 312.908
  10 0.475 974.61 318.191
  11 0.525 982.65 322.22
  12 0.575 973.35 317.08
  13 0.625 981.93 324.914
  14 0.675 974.07 320.364
  15 0.725 979.01 321.845
  16 0.775 976.99 319.132
  17 0.825 978.71 323.326
  18 0.875 977.29 320.742
  19 0.925 978.35 318.359
  20 0.975 965.65 315.06
20880000 20
  1 0.025 965.14 320.205
  2 0.075 978.86 315.019
  3 0.125 977.1 315.105
  4 0.175 978.9 314.25
  5 0.225 976 318.073
  6 0.275 980 323.739
  7 0.325 973.58 321.434
  8 0.375 982.42 322.357
  9 0.425 973.44 318.596
  10 0.475 982.56 319.343
  11 0.525 975.23 313.538
  12 0.575 980.77 317
  13 0.625 975.71 322.401
  14 0.675 980.29 320.99
  15 0.725 976.38 322.61
  16 0.775 979.62 324.049
  17 0.825 977.55 320.095
  18 0.875 978.45 318.583
  19 0.925 977.42 321.814
  20 0.975 966.58 315.586
20890000 20
  1 0.025 965.74 322.632
  2 0.075 978.26 321.316
  3 0.125 978.49 318.633
  4 0.175 977.51 312.226
  5 0.225 979.62 322.046
  6 0.275 976.38 320.54
  7 0.325 980.79 316.622
  8 0.375 975.21 319.341
  9 0.425 981.34 319.922
  10 0.475 974.66 322.211
  11 0.525 982.77 322.476
  12 0.575 973.23 325.688
  13 0.625 982.18 318.562
  14 0.675 973.82 320.937
  15 0.725 979.58 316.767
  16 0.775 976.42 314.61
  17 0.825 978.58 317.635
  18 0.875 977.42 320.558
  19 0.925 978.23 318.966
  20 0.975 965.77 318.634
20900000 20
  1 0.025 966.45 322.318
  2 0.075 977.55 321.399
  3 0.125 978.59 321.276
  4 0.175 977.41 314.38
  5 0.225 978.31 318.574
  6 0.275 977.69 318.358
  7 0.325 975.06 322.939
  8 0.375 980.94 320.929
  9 0.425 973.52 324.194
  10 0.475 982.48 322.37
  11 0.525 974.98 321.304
  12 0.575 981.02 320.465
  13 0.625 975.8 315.494
  14 0.675 980.2 319.58
